lap,driver_idx,pitstop_prob,decision
11,11,0.0343,0
11,12,0.0348,0
11,13,0.0376,0
11,14,0.0395,0
11,15,0.0376,0
11,16,0.0339,0
11,17,0.0395,0
11,18,0.0339,0
11,19,0.0332,0
12,0,0.0351,0
12,1,0.0438,0
12,2,0.2339,0
12,3,0.0351,0
12,4,0.0438,0
12,5,0.0438,0
12,6,0.1476,0
12,7,0.3936,0
12,8,0.0938,0
12,9,0.0351,0
12,10,0.0438,0
12,11,0.0357,0
12,12,0.0366,0
12,13,0.0412,0
12,14,0.0438,0
12,15,0.0412,0
12,16,0.0351,0
12,17,0.0438,0
12,18,0.0351,0
12,19,0.0339,0
13,0,0.0372,0
13,1,0.0506,0
13,2,0.4076,0
13,3,0.0372,0
13,4,0.0506,0
13,5,0.0506,0
13,6,0.2497,0
13,7,0.5923,1
13,8,0.1500,0
13,9,0.0372,0
13,10,0.0506,0
13,11,0.0380,0
13,12,0.0397,0
13,13,0.0457,0
13,14,0.0506,0
13,15,0.0457,0
13,16,0.0372,0
13,17,0.0506,0
13,18,0.0372,0
13,19,0.0351,0
14,0,0.0401,0
14,1,0.0601,0
14,2,0.8486,1
14,3,0.0401,0
14,4,0.0601,0
14,5,0.0601,0
14,6,0.4297,0
14,7,0.1597,0
14,8,0.2500,0
14,9,0.0401,0
14,10,0.0601,0
14,11,0.0416,0
14,12,0.0447,0
14,13,0.0526,0
14,14,0.0601,0
14,15,0.0526,0
14,16,0.0401,0
14,17,0.0601,0
14,18,0.0401,0
14,19,0.0369,0
15,0,0.0438,0
15,1,0.0743,0
15,2,0.3201,0
15,3,0.0438,0
15,4,0.0743,0
15,5,0.0743,0
15,6,0.6380,1
15,7,0.0450,0
15,8,0.3974,0
15,9,0.0438,0
15,10,0.0743,0
15,11,0.0475,0
15,12,0.0521,0
15,14,0.0743,0
15,15,0.0622,0
15,16,0.0438,0
15,17,0.0942,0
15,18,0.0438,0
15,19,0.0400,0
16,0,0.0487,0
16,1,0.0925,0
16,2,0.0724,0
16,3,0.0487,0
16,4,0.0925,0
16,5,0.0925,0
16,6,0.1796,0
16,7,0.0334,0
16,8,0.5686,1
16,9,0.1159,0
16,10,0.0925,0
16,11,0.0552,0
16,12,0.0637,0
16,14,0.1385,0
16,15,0.0727,0
16,16,0.0487,0
16,17,0.0983,0
16,18,0.0487,0
16,19,0.0443,0
17,0,0.0553,0
17,1,0.4321,0
17,2,0.0362,0
17,3,0.0553,0
17,4,0.1109,0
17,5,0.1109,0
17,6,0.0470,0
17,7,0.0322,0
17,8,0.1480,0
17,9,0.0687,0
17,10,0.1109,0
17,11,0.0663,0
17,12,0.0818,0
17,14,0.2245,0
17,15,0.0842,0
17,16,0.0553,0
